iter	Passed	Remaining
404	7495	1758
405	7513	1739
406	7533	1721
407	7552	1702
408	7570	1684
409	7588	1665
410	7608	1647
411	7625	1628
412	7641	1609
413	7659	1591
414	7675	1572
415	7690	1552
416	7705	1533
417	7720	1514
418	7736	1495
419	7751	1476
420	7766	1457
421	7780	1438
422	7794	1418
423	7809	1399
424	7823	1380
425	7838	1361
426	7853	1342
427	7867	1323
428	7883	1304
429	7899	1285
430	7913	1266
431	7930	1248
432	7945	1229
433	7960	1210
434	7974	1191
435	7988	1172
436	8041	1159
437	8069	1142
438	8087	1123
439	8101	1104
440	8115	1085
441	8130	1066
442	8146	1048
443	8163	1029
444	8178	1010
445	8195	992
446	8211	973
447	8227	955
448	8246	936
449	8262	918
450	8280	899
451	8298	881
452	8320	863
453	8344	845
454	8362	827
455	8380	808
456	8399	790
457	8418	771
458	8434	753
459	8454	735
460	8470	716
461	8485	697
462	8501	679
463	8516	660
464	8530	642
465	8546	623
466	8561	605
467	8577	586
468	8592	567
469	8606	549
470	8619	530
471	8632	512
472	8647	493
473	8663	475
474	8677	456
475	8692	438
476	8706	419
477	8721	401
478	8735	382
479	8750	364
480	8790	347
481	8823	329
482	8847	311
483	8863	292
484	8877	274
485	8891	256
486	8907	237
487	8922	219
488	8936	201
489	8950	182
490	8965	164
491	8982	146
492	8998	127
493	9014	109
494	9032	91
495	9049	72
496	9066	54
497	9080	36
498	9094	18
499	9110	0
