iter	Logloss
383	0.3841513156
384	0.3840398948
385	0.3838970409
386	0.3837889186
387	0.3836306192
388	0.383492507
389	0.3833580845
390	0.3832784585
391	0.3831836002
392	0.3830736375
393	0.3829035135
394	0.3828274437
395	0.3827677588
396	0.3825908978
397	0.3824952076
398	0.3823879548
399	0.382252847
400	0.3821468849
401	0.3820163823
402	0.3819005104
403	0.3817492213
404	0.3816298499
405	0.3814960868
406	0.3813507097
407	0.3812164265
408	0.3811319767
409	0.3810478861
410	0.3809150289
411	0.380811195
412	0.380665095
413	0.3805839463
414	0.380448964
415	0.380340927
416	0.3802498458
417	0.3800917177
418	0.3799690032
419	0.3798902833
420	0.3797466991
421	0.3796110309
422	0.3794454237
423	0.3793350388
424	0.3791547975
425	0.3790237129
426	0.3789210149
427	0.3787871836
428	0.3786691352
429	0.3785616706
430	0.3784310178
431	0.3783407516
432	0.3782116541
433	0.3780677962
434	0.3779542714
435	0.3778287217
436	0.377678103
437	0.3775624118
438	0.3774970899
439	0.3773794847
440	0.3773033042
441	0.3771644896
442	0.3770651276
443	0.3769622082
444	0.3768684257
445	0.3766880485
446	0.3765312063
447	0.3764030221
448	0.3762893608
449	0.3761622329
450	0.3760294285
451	0.375878805
452	0.3757268634
453	0.375616822
454	0.3754967466
455	0.3753671279
456	0.3752378223
457	0.3751051698
458	0.3750160045
459	0.3748605541
460	0.3747497319
461	0.3746206601
462	0.3744644517
463	0.3743240424
464	0.3741946507
465	0.3740448345
466	0.3739109962
467	0.3737546283
468	0.3736746877
469	0.3735316436
470	0.3734521319
471	0.3733631398
472	0.3732144827
473	0.3730617937
474	0.372938088
475	0.3728147718
476	0.3726866777
477	0.3725833588
478	0.3724298765
479	0.3723163753
480	0.3721705871
481	0.3720374637
482	0.3719359142
483	0.3718418621
484	0.371718615
485	0.3716418251
486	0.371522866
487	0.3714275417
488	0.3713509932
489	0.3712085089
490	0.3711129326
491	0.371012457
492	0.3709455386
493	0.3708440542
494	0.3706948515
495	0.3705707395
496	0.3704854608
497	0.3703892977
498	0.3703203984
499	0.3701980689
